,stream,stream_temp,exp_temp,mass,resp,Exp_Temp_K,log_resp,mass_g,x1,x2,log_mass_resp,lnmass,mass_resp
53,11,5.6,35,5.5519902320000005,0.349578312,308.15,-1.0510276737383792,0.0055519902320000005,2.267424367910394,37.6586795733232,-2.3366450216161003,1.7141564638369615,0.09665135810747734
54,11,5.6,35,6.692734657000001,0.439561644,308.15,-0.8219773123066678,0.006692734657000001,2.267424367910394,37.6586795733232,-2.247744231166515,1.901022558479796,0.1056372492110649
55,11,5.6,35,8.258236891000001,0.354334686,308.15,-1.0375133718179372,0.008258236891000002,2.267424367910394,37.6586795733232,-2.620921706790011,2.1112111132960987,0.0727357908495324
56,11,5.6,35,10.31923893,0.508614106,308.15,-0.6760656914200145,0.010319238929999999,2.267424367910394,37.6586795733232,-2.4265731991007216,2.334010010240943,0.08833903477708269
57,11,5.6,35,12.24282828,0.523302663,308.15,-0.6475952767577602,0.01224282828,2.267424367910394,37.6586795733232,-2.526300516022301,2.5049403190193873,0.07995426334187337
58,11,5.6,35,13.17061975,0.7411122059999999,308.15,-0.29960324004845906,0.01317061975,2.267424367910394,37.6586795733232,-2.2330946693146494,2.5779885723549203,0.10719617957057877
59,11,5.6,35,14.37567678,0.6991110629999999,308.15,-0.35794566095773656,0.014375676779999999,2.267424367910394,37.6586795733232,-2.357098910399983,2.6655376659229955,0.09469454244380988
60,11,5.6,35,14.493890200000001,0.177169784,308.15,-1.730646774538565,0.014493890200000002,2.267424367910394,37.6586795733232,-3.735942170870984,2.673727195109892,0.023850689054980362
61,11,5.6,35,16.98670639,0.530695127,308.15,-0.6335675714026172,0.01698670639,2.267424367910394,37.6586795733232,-2.7578908672230034,2.832431061093849,0.06342539997667618
62,11,5.6,35,18.32680603,0.502574382,308.15,-0.6880116261227628,0.01832680603,2.267424367910394,37.6586795733232,-2.869285224954021,2.9083647984416774,0.056739468044987744
63,11,5.6,35,19.73096028,0.7367300040000001,308.15,-0.3055337985538256,0.01973096028,2.267424367910394,37.6586795733232,-2.542175540985896,2.982188989909427,0.07869500920673925
64,11,5.6,35,33.81015624,1.8605872019999998,308.15,0.6208921379023505,0.03381015624,2.267424367910394,37.6586795733232,-2.0196787904679967,3.52076123782713,0.13269808212411174
65,11,5.6,40,2.692290797,0.18669000000000002,313.15,-1.6783057917329007,0.0026922907970000002,2.8687125616406064,37.057391379592985,-2.421100113189041,0.9903924286081865,0.08882384740415257
66,11,5.6,40,3.360127953,0.11283599999999999,313.15,-2.181819841899197,0.003360127953,2.8687125616406064,37.057391379592985,-3.0908041327742275,1.2119790545000404,0.04546537949930432
67,11,5.6,40,8.725179811,0.270911658,313.15,-1.3059624964870267,0.008725179811000001,2.8687125616406064,37.057391379592985,-2.9306223039270787,2.166213076586736,0.053363819295847194
68,11,5.6,40,11.15447456,0.42464979999999997,313.15,-0.8564904497323277,0.01115447456,2.8687125616406064,37.057391379592985,-2.665370992157885,2.4118407232340764,0.06957353750798188
69,11,5.6,40,11.66485923,0.33733927700000005,313.15,-1.0866660983928411,0.01166485923,2.8687125616406064,37.057391379592985,-2.9291017266503037,2.456580837676617,0.05344502483086939
70,11,5.6,40,13.4515818,0.37475935299999996,313.15,-0.9814711843388938,0.0134515818,2.8687125616406064,37.057391379592985,-2.9307937131494683,2.599096705080766,0.053354673028977596
71,11,5.6,40,17.44852939,0.564932848,313.15,-0.5710484079966304,0.017448529390000002,2.8687125616406064,37.057391379592985,-2.7154899350858894,2.8592553694523453,0.06617252482223683
72,11,5.6,40,17.85054572,0.550388376,313.15,-0.5971311117720628,0.01785054572,2.8687125616406064,37.057391379592985,-2.7586566720025654,2.8820340803073368,0.06337684709561546
73,11,5.6,40,19.02080227,0.41527200000000003,313.15,-0.87882155175968,0.01902080227,2.8687125616406064,37.057391379592985,-3.087971479182805,2.9455332365641667,0.04559434974760962
74,11,5.6,40,40.74278105,1.184804635,313.15,0.1695778960164671,0.040742781049999996,2.8687125616406064,37.057391379592985,-2.610881107868286,3.7072786718463373,0.07346978043388602
75,11,5.6,45,2.797232396,0.031654,318.15,-3.452890756071046,0.002797232396,3.451101236473122,36.47500270476047,-4.224363629842613,1.0286304983620904,0.014634644798162266
76,11,5.6,45,8.725179811,0.154256374,318.15,-1.8691392945220289,0.008725179811000001,3.451101236473122,36.47500270476047,-3.493799101962081,2.166213076586736,0.030385216081652053
