stream,stream_temp,exp_temp,acclimation,length,mass,date_in,time_in,date_out,time_out,duration,feeding
9,9.6,5.2,cold,0.495,0.015462547,26/06/2017,18:40,26/06/2017,21:40,3,0.00207325
9,9.6,5.2,cold,0.617,0.02776838,26/06/2017,18:40,26/06/2017,21:40,3,0.030797191
9,9.6,5.2,cold,0.602,0.026010302,26/06/2017,18:40,26/06/2017,21:40,3,-0.012514893
9,9.6,5.2,cold,0.655,0.03254835,26/06/2017,18:40,26/06/2017,21:40,3,-0.00572971
9,9.6,8.5,cold,0.519,0.017535775,26/06/2017,17:40,26/06/2017,20:40,3,-0.004259587
9,9.6,8.5,cold,0.537,0.019198813,26/06/2017,17:40,26/06/2017,20:40,3,0.027291513
9,9.6,8.5,cold,0.61,0.026939018,26/06/2017,17:40,26/06/2017,20:40,3,0.034755214
9,9.6,8.5,cold,0.624,0.028613486,26/06/2017,17:40,26/06/2017,20:40,3,0.018696948
9,9.6,8.5,cold,0.772,0.050374494,26/06/2017,17:40,26/06/2017,20:40,3,-0.0332097
9,9.6,13.1,cold,0.449,0.011931976,26/06/2017,19:00,26/06/2017,22:00,3,0.023408881
9,9.6,13.1,cold,0.477,0.014012974,26/06/2017,19:00,26/06/2017,22:00,3,0.026801472
9,9.6,13.1,cold,0.668,0.034293449,26/06/2017,19:00,26/06/2017,22:00,3,0.016962957
9,9.6,13.1,cold,0.566,0.022078898,26/06/2017,19:00,26/06/2017,22:00,3,0.036639987
9,9.6,13.1,cold,0.683,0.036378161,26/06/2017,19:00,26/06/2017,22:00,3,0.038223196
9,9.6,18,cold,0.475,0.013857376,26/06/2017,18:00,26/06/2017,21:00,3,0.025218262
9,9.6,18,cold,0.502,0.016050474,26/06/2017,18:00,26/06/2017,21:00,3,-0.00655901
9,9.6,18,cold,0.6,0.025781292,26/06/2017,18:00,26/06/2017,21:00,3,-0.015153575
9,9.6,18,cold,0.581,0.023668231,26/06/2017,18:00,26/06/2017,21:00,3,0.030759495
9,9.6,18,cold,0.666,0.034021267,26/06/2017,18:00,26/06/2017,21:00,3,0.027593076
9,9.6,20,cold,0.412,0.009494172,26/06/2017,19:20,26/06/2017,22:20,3,0.031362622
9,9.6,20,cold,0.536,0.019103949,26/06/2017,19:20,26/06/2017,22:20,3,0.044141383
9,9.6,20,cold,0.524,0.01798832,26/06/2017,19:20,26/06/2017,22:20,3,0.016774479
9,9.6,20,cold,0.617,0.02776838,26/06/2017,19:20,26/06/2017,22:20,3,0.043915211
9,9.6,20,cold,0.748,0.046319218,26/06/2017,19:20,26/06/2017,22:20,3,0.043349779
9,9.6,24.5,cold,0.476,0.013935039,26/06/2017,18:20,26/06/2017,21:20,3,0.035999164
9,9.6,24.5,cold,0.595,0.025214279,26/06/2017,18:20,26/06/2017,21:20,3,0.023898922
9,9.6,24.5,cold,0.584,0.023994398,26/06/2017,18:20,26/06/2017,21:20,3,0.045950766
9,9.6,24.5,cold,0.527,0.018263308,26/06/2017,18:20,26/06/2017,21:20,3,0.043689038
9,9.6,24.5,cold,0.7,0.038834325,26/06/2017,18:20,26/06/2017,21:20,3,0.044593729
9,9.6,27.5,cold,0.441,0.011375311,26/06/2017,19:40,26/06/2017,22:40,3,0.027555381
9,9.6,27.5,cold,0.521,0.017715931,26/06/2017,19:40,26/06/2017,22:40,3,0.043387474
9,9.6,27.5,cold,0.643,0.030987631,26/06/2017,19:40,26/06/2017,22:40,3,0.048476361
9,9.6,27.5,cold,0.552,0.02065717,26/06/2017,19:40,26/06/2017,22:40,3,0.022014149
9,9.6,27.5,cold,0.718,0.041544968,26/06/2017,19:40,26/06/2017,22:40,3,0.051982039
