,stream_temp,exp_temp,mass,feeding,Exp_Temp_K,feeding_new,log_feeding,mass_g,x1,x2,log_mass_feed,lnmass,feed_mass,new_feed,lnIEkt,Temps,En_Eff,Log_Eneff,Log_Eneff_Mass,En_Mass,stream_temp_fact
11,14.4,13.1,0.024433628,0.038675542,286.25,0.038675542,-3.2525478684001325,2.4433628e-05,-0.6137112920224521,40.53981523325604,-0.46870169429782454,-3.7117948988030776,0.625814239270712,0.625814239270712,-17.06674050708132,1,0.05939395380641016,-2.8235628455651374,6.925527489724204,2.1659384849254152e-07,tepid
12,14.4,13.1,0.02776838,0.025557522000000003,286.25,0.025557522000000003,-3.6668236025294063,2.776838e-05,-0.6137112920224521,40.53981523325604,-0.9789306157549816,-3.5838573156992326,0.3757126653036417,0.3757126653036417,-17.481016241210593,1,0.0392486362847691,-3.237838579694411,6.127439006283396,2.1009523943657888e-07,tepid
13,14.4,13.1,0.042630062999999996,0.027819249,286.25,0.027819249,-3.5820270878188603,4.2630062999999996e-05,-0.6137112920224521,40.53981523325604,-1.2156304100386617,-3.1551955703735977,0.29652302426885013,0.29652302426885013,-17.396219726500046,1,0.04272196599171182,-3.1530420649838646,4.926250285017038,8.274450495940387e-07,tepid
15,14.4,18.0,0.009251179,0.019224684,291.15,0.019224684,-3.9515602006565964,9.251179e-06,0.06856620975654061,39.85753773147705,-0.4393069935661387,-4.68300427612061,0.6444828971541192,0.6444828971541192,-17.533262563090016,2,0.016698845398468224,-4.092415699765831,8.570302767476111,3.305351916610887e-09,tepid
16,14.4,18.0,0.01844808,0.033134309,291.15,0.033134309,-3.407186007741183,1.844808e-05,0.06856620975654061,39.85753773147705,-0.4125897735276378,-3.9927949789513932,0.6619337698938114,0.6619337698938114,-16.9888883701746,2,0.028780951789692578,-3.5480415068504167,7.044049068883872,4.517505401323333e-08,tepid
18,14.4,18.0,0.045500953,0.028610853999999998,291.15,0.028610853999999998,-3.5539691226627106,4.5500952999999995e-05,0.06856620975654061,39.85753773147705,-1.2364526165204868,-3.090022008189632,0.2904125976832358,0.2904125976832358,-17.13567148509613,2,0.02485181174703034,-3.6948246217719447,4.188947041677061,5.852744189622687e-07,tepid
20,14.4,20.0,0.012360413999999998,0.002751768,293.15,0.002751768,-5.895511664790262,1.2360413999999998e-05,0.340492102517769,39.58561183871582,-2.6005694155143284,-4.393256332367911,0.07423129772531954,0.07423129772531954,-19.38455359834813,2,0.0019046050644979076,-6.26348060712044,5.5299940288634035,8.991745273241993e-10,tepid
21,14.4,20.0,0.01647883,0.043010519000000004,293.15,0.043010519000000004,-3.1463105652981254,1.647883e-05,0.340492102517769,39.58561183871582,-0.0670515011730875,-4.1056787521667175,0.9351470389270629,0.9351470389270629,-16.635352498855994,2,0.029769243742235357,-3.514279507628303,7.416462387751958,3.3303274040839096e-08,tepid
22,14.4,20.0,0.027648938999999997,0.044480642,293.15,0.044480642,-3.112701195690734,2.7648939e-05,0.340492102517769,39.58561183871582,-0.4215752524930344,-3.5881679242635993,0.656012619950917,0.656012619950917,-16.601743129248604,2,0.030786772731319776,-3.4806701380209115,5.897539273649996,1.6268203090585785e-07,tepid
23,14.4,20.0,0.039129887,0.045837679000000006,293.15,0.045837679000000006,-3.082648840492781,3.9129887000000004e-05,0.340492102517769,39.58561183871582,-0.6519972925623935,-3.24086873057385,0.5210041391876244,0.5210041391876244,-16.57169077405065,2,0.03172603052591258,-3.4506177828229587,4.885694047778701,4.7520557566530554e-07,tepid
